Anno;Quartiere;Genere;Ipotesi_alta;Ipotesi_media;Ipotesi_bassa
2025;Padova;Femmine;195;191;189
2025;Padova;Maschi;157;156;156
2025;Pagano;Femmine;85;85;85
2025;Pagano;Maschi;71;71;71
2025;Parco Lambro - Cimiano;Femmine;136;136;136
2025;Parco Lambro - Cimiano;Maschi;102;102;102
2025;Parco Monlué - Ponte Lambro;Femmine;6;6;6
2025;Parco Monlué - Ponte Lambro;Maschi;3;3;3
2025;Porta Romana;Femmine;67;68;68
2025;Porta Romana;Maschi;60;60;60
2025;Portello;Femmine;45;45;45
2025;Portello;Maschi;35;35;35
2025;QT 8;Femmine;23;23;23
2025;QT 8;Maschi;18;18;18
2025;Quarto Cagnino;Femmine;38;38;38
2025;Quarto Cagnino;Maschi;47;47;47
2025;Quarto Oggiaro;Femmine;180;180;180
2025;Quarto Oggiaro;Maschi;148;147;147
2025;Quinto Romano;Femmine;17;17;17
2025;Quinto Romano;Maschi;16;16;16
2025;Ripamonti;Femmine;50;48;48
2025;Ripamonti;Maschi;64;64;64
2025;Rogoredo;Femmine;25;26;26
2025;Rogoredo;Maschi;16;16;16
2025;Ronchetto S/N;Femmine;69;69;69
2025;Ronchetto S/N;Maschi;74;74;74
2025;S. Cristoforo;Femmine;63;63;63
2025;S. Cristoforo;Maschi;60;60;60
2025;S. Siro;Femmine;47;47;47
2025;S. Siro;Maschi;55;55;55
2025;Sarpi;Femmine;147;148;147
2025;Sarpi;Maschi;113;112;112
2025;Scalo Romana;Femmine;29;29;29
2025;Scalo Romana;Maschi;34;34;34
2025;Selinunte;Femmine;143;142;142
2025;Selinunte;Maschi;104;104;104
2025;Stadera;Femmine;184;183;183
2025;Stadera;Maschi;142;142;141
2025;Tibaldi;Femmine;66;66;66
2025;Tibaldi;Maschi;59;59;59
2025;Ticinese;Femmine;83;83;83
2025;Ticinese;Maschi;76;76;76
2025;Tortona;Femmine;72;73;73
2025;Tortona;Maschi;69;69;69
2025;Trenno;Femmine;13;13;13
2025;Trenno;Maschi;19;18;18
2025;Umbria - Molise;Femmine;114;114;114
2025;Umbria - Molise;Maschi;89;89;89
2025;Vigentina;Femmine;73;73;73
2025;Vigentina;Maschi;66;66;66
2025;Villapizzone;Femmine;213;212;211
2025;Villapizzone;Maschi;179;178;176
2025;Vle Monza;Femmine;144;144;144
2025;Vle Monza;Maschi;140;142;142
2025;Washington;Femmine;149;149;149
2025;Washington;Maschi;116;115;115
2025;XXII Marzo;Femmine;168;168;168
2025;XXII Marzo;Maschi;134;134;134
2025;Quartieri residuali;Femmine;21;21;21
2025;Quartieri residuali;Maschi;11;11;11
2026;Adriano;Femmine;37;37;37
2026;Adriano;Maschi;53;52;52
2026;Affori;Femmine;110;109;109
2026;Affori;Maschi;105;102;101
2026;Baggio;Femmine;180;180;180
2026;Baggio;Maschi;152;152;152
2026;Bande Nere;Femmine;274;273;273
2026;Bande Nere;Maschi;210;207;207
2026;Barona;Femmine;127;126;126
2026;Barona;Maschi;101;101;101
2026;Bicocca;Femmine;16;16;16
2026;Bicocca;Maschi;16;16;16
2026;Bovisa;Femmine;49;49;49
2026;Bovisa;Maschi;51;51;51
2026;Bovisasca;Femmine;46;45;45
2026;Bovisasca;Maschi;36;36;36
2026;Brera;Femmine;84;84;84
2026;Brera;Maschi;78;78;78
2026;Bruzzano;Femmine;37;36;36
2026;Bruzzano;Maschi;53;53;53
2026;Buenos Aires - Venezia;Femmine;334;334;334
2026;Buenos Aires - Venezia;Maschi;301;301;299
2026;Centrale;Femmine;81;80;80
2026;Centrale;Maschi;72;72;72
2026;Città Studi;Femmine;203;202;202
2026;Città Studi;Maschi;164;163;163
2026;Comasina;Femmine;47;47;47
2026;Comasina;Maschi;36;36;36
2026;Corsica;Femmine;107;107;107
2026;Corsica;Maschi;87;87;87
2026;De Angeli - Monte Rosa;Femmine;109;108;108
2026;De Angeli - Monte Rosa;Maschi;86;86;86
